Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Round,Accuracy,Run dir,Run key,Score path,Observed rounds,Complete run,Result source,Run status
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,44,26.919823092842226,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,45,27.239325257596796,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,46,27.491867154968634,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,47,28.254101642897766,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,48,28.099518664654717,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,49,27.952156423138312,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,50,27.45385818607076,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,100,0,1,18.251158983510905,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r100,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r100,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r100/seed0/10/log.txt,100,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,100,0,2,21.19188939116349,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r100,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r100,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r100/seed0/10/log.txt,100,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,100,0,3,22.334302718379597,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r100,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r100,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r100/seed0/10/log.txt,100,True,score log,Complete
