Run source,Run root,Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Client count,Client count label,Communication round,Round id,Mean Matthews correlation,Std Matthews correlation,Mean accuracy (%),Seed count,Result source
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,85,84,0.5604411498024476,0.0,82.16682646212847,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,86,85,0.5631883547866908,0.0,82.2627037392138,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,87,86,0.5606182756735524,0.0,82.16682646212847,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,88,87,0.5710666404909023,0.0,82.5503355704698,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,89,88,0.565753895146675,0.0,82.35858101629914,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,90,89,0.5683149665802574,0.0,82.45445829338448,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,91,90,0.5633880074988443,0.0,82.2627037392138,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,92,91,0.565753895146675,0.0,82.35858101629914,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,93,92,0.5683149665802574,0.0,82.45445829338448,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,94,93,0.565753895146675,0.0,82.35858101629914,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,95,94,0.5712858094294248,0.0,82.5503355704698,1,round_config.json
