Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Client count,Client count label,Round,Round id,Segment,Accuracy source,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Manifest rows,Communication round
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,10,9,1,round_config,round config,Committed partial,29.36505531356326,0.0,1,7,10
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,1,0,1,round_config,round config,Committed partial,26.60980829050208,0.0,1,2,1
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,2,1,1,round_config,round config,Committed partial,28.661403465219077,0.0,1,2,2
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,3,2,1,round_config,round config,Committed partial,27.660918690615237,0.0,1,2,3
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,4,3,1,round_config,round config,Committed partial,28.177055464547706,0.0,1,2,4
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,5,4,1,round_config,round config,Committed partial,26.892724589234295,0.0,1,2,5
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,6,5,1,round_config,round config,Committed partial,27.60899213784705,0.0,1,2,6
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,7,6,1,round_config,round config,Committed partial,27.943549145263823,0.0,1,2,7
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,8,7,1,round_config,round config,Committed partial,28.008894718765298,0.0,1,2,8
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,9,8,1,round_config,round config,Committed partial,28.18310074402128,0.0,1,2,9
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,10,9,1,round_config,round config,Committed partial,28.547522085680043,0.0,1,2,10
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,11,10,2,round_config,round config,Committed partial,28.025689560661142,0.0,1,2,11
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,12,11,2,round_config,round config,Committed partial,28.2450076270367,0.0,1,2,12
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,13,12,2,round_config,round config,Committed partial,28.797439267208702,0.0,1,2,13
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,14,13,2,round_config,round config,Committed partial,28.809358211332164,0.0,1,2,14
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,15,14,2,round_config,round config,Committed partial,27.546198813295124,0.0,1,2,15
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,16,15,2,round_config,round config,Committed partial,27.9030069158541,0.0,1,2,16
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,17,16,2,round_config,round config,Committed partial,28.60507203311701,0.0,1,2,17
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,18,17,2,round_config,round config,Committed partial,28.287315570310245,0.0,1,2,18
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,19,18,2,round_config,round config,Committed partial,28.08257938904276,0.0,1,2,19
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,20,19,2,round_config,round config,Committed partial,27.014994314948876,0.0,1,2,20
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,1,0,1,round_config,round config,Committed partial,20.116303880231097,0.0,1,8,1
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,2,1,1,round_config,round config,Committed partial,27.728141423971152,0.0,1,8,2
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,10,10,3,2,1,round_config,round config,Committed partial,29.239334785137196,0.0,1,8,3
