Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Run dir,Score path,Observed rounds,Complete run,Result source,Run status,Round,Accuracy
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e2-r10/seed0/10/log.txt,10,True,score log,Complete,10,29.54508980050151
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10/seed0/10/log.txt,10,True,score log,Complete,1,19.702043821918743
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10/seed0/10/log.txt,10,True,score log,Complete,2,27.563013746073224
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10/seed0/10/log.txt,10,True,score log,Complete,3,28.204301574471042
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10/seed0/10/log.txt,10,True,score log,Complete,4,29.321431473859043
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10/seed0/10/log.txt,10,True,score log,Complete,5,28.97318645408597
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10/seed0/10/log.txt,10,True,score log,Complete,6,28.9555045369498
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10/seed0/10/log.txt,10,True,score log,Complete,7,29.560024286637205
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10/seed0/10/log.txt,10,True,score log,Complete,8,29.159106606085818
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10/seed0/10/log.txt,10,True,score log,Complete,9,29.073572801431226
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e3-r10/seed0/10/log.txt,10,True,score log,Complete,10,29.449209296555324
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e5-r10/seed0/10/log.txt,10,True,score log,Complete,1,24.30039362524154
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e5-r10/seed0/10/log.txt,10,True,score log,Complete,2,28.9713980350406
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e5-r10/seed0/10/log.txt,10,True,score log,Complete,3,26.995290869112516
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e5-r10/seed0/10/log.txt,10,True,score log,Complete,4,29.816646030836875
