Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Seeds,Max config rounds,Compute cost
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,6,score log,Complete,26.725295097132783,0.0,1,0,10,6
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,7,score log,Complete,28.720285787559614,0.0,1,0,10,7
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,8,score log,Complete,27.072113671880064,0.0,1,0,10,8
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,9,score log,Complete,28.246422027111002,0.0,1,0,10,9
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,score log,Complete,29.85784710827064,0.0,1,0,10,10
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,1,score log,Complete,27.983047872846882,0.0,1,0,10,2
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,2,score log,Complete,28.255832567351234,0.0,1,0,10,4
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,3,score log,Complete,28.79523766284935,0.0,1,0,10,6
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,4,score log,Complete,27.638068186193433,0.0,1,0,10,8
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,5,score log,Complete,30.53585210089038,0.0,1,0,10,10
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,6,score log,Complete,29.203063953326964,0.0,1,0,10,12
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,7,score log,Complete,29.458413348457814,0.0,1,0,10,14
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,8,score log,Complete,29.24455166705512,0.0,1,0,10,16
