Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Round,Oracle epochs,Oracle accuracy,Smoothed epochs,Smoothed accuracy,Oracle gain over current epoch,Meaningful switch,Switch threshold,Compute cost
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,10,5,28.63917281760045,5,28.63917281760045,0.5963318693776962,True,0.5,50
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,3,46.216901483508074,3,46.216901483508074,0.0,False,0.5,3
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,3,42.69232295744253,3,42.69232295744253,0.0,False,0.5,6
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,2,42.16890867527782,2,42.16890867527782,0.590060425965838,True,0.5,6
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,4,2,43.59053657311651,2,43.59053657311651,0.0,False,0.5,8
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,5,2,44.68460555687419,2,44.68460555687419,0.0,False,0.5,10
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,6,2,43.262463446157405,2,43.262463446157405,0.0,False,0.5,12
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,7,2,42.30121151519487,2,42.30121151519487,0.0,False,0.5,14
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,8,2,42.65858595736021,2,42.65858595736021,0.0,False,0.5,16
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,9,2,42.74021735913149,2,42.74021735913149,0.0,False,0.5,18
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,10,2,42.17589144163384,2,42.17589144163384,0.0,False,0.5,20
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,1,1,45.100873212020446,1,45.100873212020446,0.0,False,0.5,1
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,2,2,41.62260652971888,2,41.62260652971888,0.6632233063626458,True,0.5,4
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,3,2,43.32040114715666,2,43.32040114715666,0.0,False,0.5,6
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,4,2,40.32606039484363,2,40.32606039484363,0.0,False,0.5,8
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,5,2,43.332710945166696,2,43.332710945166696,0.0,False,0.5,10
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,6,2,41.62255153634585,2,41.62255153634585,0.0,False,0.5,12
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,7,2,42.33972430992514,2,42.33972430992514,0.0,False,0.5,14
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,8,2,40.982815561653126,2,40.982815561653126,0.0,False,0.5,16
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,9,2,40.13543079304065,2,40.13543079304065,0.0,False,0.5,18
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,10,2,39.19553969492619,2,39.19553969492619,0.0,False,0.5,20
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,1,3,45.736471619380225,3,45.736471619380225,0.0,False,0.5,3
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,2,1,44.55370053034588,1,44.55370053034588,3.712595746817634,True,0.5,2
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,1,43.18967446552127,1,43.18967446552127,0.0,False,0.5,3
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,4,1,42.64053898182721,1,42.64053898182721,0.0,False,0.5,4
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,5,2,42.09469708569437,1,41.85446285768038,0.24023422801398908,False,0.5,5
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,6,2,41.38137628514904,2,41.38137628514904,0.66911906830601,True,0.5,12
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,7,2,43.20431654274306,2,43.20431654274306,0.0,False,0.5,14
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,8,2,42.2516757096005,2,42.2516757096005,0.0,False,0.5,16
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,9,2,41.89242993187752,2,41.89242993187752,0.0,False,0.5,18
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,10,2,42.3593810169204,2,42.3593810169204,0.0,False,0.5,20
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,1,1,46.735378514127305,1,46.735378514127305,0.0,False,0.5,1
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,2,1,41.117728108320165,1,41.117728108320165,0.0,False,0.5,2
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,3,2,41.169868072882686,2,41.169868072882686,1.3245682272242831,True,0.5,6
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,4,2,39.40311884522087,2,39.40311884522087,0.0,False,0.5,8
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,5,1,39.255259332818476,2,39.029558358114365,0.225700974704111,False,0.5,10
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,6,2,39.78101174756354,2,39.78101174756354,0.0,False,0.5,12
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,7,2,40.58308828152438,2,40.58308828152438,0.0,False,0.5,14
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,8,2,38.097814466066545,2,38.097814466066545,0.0,False,0.5,16
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,9,2,38.78052865532214,2,38.78052865532214,0.0,False,0.5,18
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,10,2,38.93576736298945,2,38.93576736298945,0.0,False,0.5,20
