Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Seeds,Max config rounds,Compute cost
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,28,score log,Complete,55.23465703971119,0.0,1,0,40,56
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,29,score log,Complete,55.5956678700361,0.0,1,0,40,58
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,30,score log,Complete,55.5956678700361,0.0,1,0,40,60
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,31,score log,Complete,55.5956678700361,0.0,1,0,40,62
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,32,score log,Complete,55.95667870036101,0.0,1,0,40,64
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,33,score log,Complete,55.95667870036101,0.0,1,0,40,66
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,34,score log,Complete,55.95667870036101,0.0,1,0,40,68
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,35,score log,Complete,55.95667870036101,0.0,1,0,40,70
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,36,score log,Complete,55.95667870036101,0.0,1,0,40,72
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,37,score log,Complete,56.317689530685925,0.0,1,0,40,74
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,38,score log,Complete,56.317689530685925,0.0,1,0,40,76
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,39,score log,Complete,56.317689530685925,0.0,1,0,40,78
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,40,score log,Complete,57.03971119133574,0.0,1,0,40,80
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,1,score log,Complete,54.87364620938629,0.0,1,0,20,4
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,2,score log,Complete,56.317689530685925,0.0,1,0,20,8
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,3,score log,Complete,57.03971119133574,0.0,1,0,20,12
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,4,score log,Complete,56.317689530685925,0.0,1,0,20,16
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,5,score log,Complete,54.51263537906137,0.0,1,0,20,20
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,6,score log,Complete,56.317689530685925,0.0,1,0,20,24
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,7,score log,Complete,54.87364620938629,0.0,1,0,20,28
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,8,score log,Complete,55.5956678700361,0.0,1,0,20,32
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,9,score log,Complete,55.95667870036101,0.0,1,0,20,36
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,10,score log,Complete,55.23465703971119,0.0,1,0,20,40
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,11,score log,Complete,55.23465703971119,0.0,1,0,20,44
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,12,score log,Complete,55.5956678700361,0.0,1,0,20,48
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,13,score log,Complete,55.23465703971119,0.0,1,0,20,52
